石景山爆笑脱口秀--欢啤超市剧场	位置+++石景山爆笑脱口秀--欢啤超市剧场
中国人民大学国学人员创业园	位置+++中国人民大学国学人员创业园
中国人民大学-灯光篮球场(中国人民大学育贤楼东)	位置+++中国人民大学-灯光篮球场(中国人民大学育贤楼东)
中国人民大学博物馆	位置+++中国人民大学博物馆
中国人民大学	位置+++中国人民大学
中国人力资源和社会保障部教育培训中心	位置+++中国人力资源和社会保障部教育培训中心
中国人力资源和社会保障部剑桥大学CMO北京培训中心	位置+++中国人力资源和社会保障部剑桥大学CMO北京培训中心
中国青少年研究中心	位置+++中国青少年研究中心
中国青年政治学院羽毛球馆	位置+++中国青年政治学院羽毛球馆
中国青年政治学院篮球场(建设中)	位置+++中国青年政治学院篮球场(建设中)
中国青年政治学院就业中心	位置+++中国青年政治学院就业中心
中国侨联干部培训中心	位置+++中国侨联干部培训中心
中国钱币博物馆	位置+++中国钱币博物馆
中国汽车报采访中心	位置+++中国汽车报采访中心
中国气象科技园总部基地海淀园(建设中)	位置+++中国气象科技园总部基地海淀园(建设中)
中国气象科技园	位置+++中国气象科技园
中国气象局体育文化广场	位置+++中国气象局体育文化广场
中国气象局气象会堂	位置+++中国气象局气象会堂
中国气象局培训中心广场	位置+++中国气象局培训中心广场
中国气象局离退休干部活动室南区	位置+++中国气象局离退休干部活动室南区
中国企业联合会	位置+++中国企业联合会
中国漆艺术中心	位置+++中国漆艺术中心
中国期刊网CNKI数字图书馆	位置+++中国期刊网CNKI数字图书馆
中国评剧院	位置+++中国评剧院
中国评剧艺术中心	位置+++中国评剧艺术中心
中国评剧大剧院-全国地方戏演出中心	位置+++中国评剧大剧院-全国地方戏演出中心
中国评剧大剧院	位置+++中国评剧大剧院
中国皮革协会职业培训中心	位置+++中国皮革协会职业培训中心
中国女子高尔夫俱乐部(京山天宏高尔夫俱乐部)	位置+++中国女子高尔夫俱乐部(京山天宏高尔夫俱乐部)
中国农业科学院国家农业科技创新园	位置+++中国农业科学院国家农业科技创新园
中国农业科学院国际农业高新技术产业园	位置+++中国农业科学院国际农业高新技术产业园
中国农业科学院草业综合研究与发展中心	位置+++中国农业科学院草业综合研究与发展中心
中国农业大学足球场(学苑五路)	位置+++中国农业大学足球场(学苑五路)
中国农业大学西校区足球场(绿苑西路)	位置+++中国农业大学西校区足球场(绿苑西路)
中国农业大学西校区运动场所	位置+++中国农业大学西校区运动场所
中国农业大学西校区校园卡管理中心	位置+++中国农业大学西校区校园卡管理中心
中国农业大学西校区网球场(暂停营业)	位置+++中国农业大学西校区网球场(暂停营业)
中国农业大学西校区乒乓球室	位置+++中国农业大学西校区乒乓球室
中国农业大学西校区排球场	位置+++中国农业大学西校区排球场
中国农业大学西校区篮球场(暂停营业)	位置+++中国农业大学西校区篮球场(暂停营业)
中国农业大学西校区就业指导中心	位置+++中国农业大学西校区就业指导中心
中国农业大学西校区橄榄球俱乐部	位置+++中国农业大学西校区橄榄球俱乐部
中国农业大学西校区操场	位置+++中国农业大学西校区操场
中国农业大学书画院	位置+++中国农业大学书画院
中国农业大学-生物信息学中心	位置+++中国农业大学-生物信息学中心
中国农业大学篮球场(清华东路)	位置+++中国农业大学篮球场(清华东路)
中国农业大学科技园	位置+++中国农业大学科技园
中国农业大学国际会议中心	位置+++中国农业大学国际会议中心
中国农业大学功能基因组学中心	位置+++中国农业大学功能基因组学中心
中国农业大学东校区-图书馆	位置+++中国农业大学东校区-图书馆
中国农业大学东校区体育馆	位置+++中国农业大学东校区体育馆
中国农业大学东校区体育场	位置+++中国农业大学东校区体育场
中国农业大学东校区篮球场(中国农业大学留学生公寓西北)	位置+++中国农业大学东校区篮球场(中国农业大学留学生公寓西北)
中国农业大学东校区机械工程训练中心	位置+++中国农业大学东校区机械工程训练中心
中国农业大学东校区MBA教育中心	位置+++中国农业大学东校区MBA教育中心
中国农业大学-电化教育中心	位置+++中国农业大学-电化教育中心
中国农业大学电化教育中心	位置+++中国农业大学电化教育中心
中国农业大学大学生心理素质教育中心	位置+++中国农业大学大学生心理素质教育中心
中国农业大学	位置+++中国农业大学
中国农业博物馆	位置+++中国农业博物馆
中国农学会出国人员培训中心	位置+++中国农学会出国人员培训中心
中国农机院液压工业园	位置+++中国农机院液压工业园
中国农机院生态农业科技园	位置+++中国农机院生态农业科技园
中国农机院农机试验站	位置+++中国农机院农机试验站
中国木偶艺术剧院-小铃铛精品剧场	位置+++中国木偶艺术剧院
中国木偶艺术剧院-卡酷剧场	位置+++中国木偶艺术剧院
中国木偶艺术剧院-黑猫剧场	位置+++中国木偶艺术剧院
中国木偶艺术剧院	位置+++中国木偶艺术剧院
中国木偶剧院-小铃铛精品剧场	位置+++中国木偶艺术剧院-小铃铛精品剧场
中国木偶剧院小铃铛精品剧场	位置+++中国木偶艺术剧院-小铃铛精品剧场
中国木偶剧院-木偶影城	位置+++中国木偶艺术剧院-木偶影城
中国木偶剧院-卡酷剧场	位置+++中国木偶艺术剧院-卡酷剧场
中国木偶剧院花园剧场(世园会园区内)	位置+++中国木偶艺术剧院-花园剧场
中国木偶剧院花园剧场	位置+++中国木偶艺术剧院-花园剧场
中国木偶剧院花乡剧场	位置+++中国木偶剧院-花乡剧场
中国木偶剧院-黑猫剧场	位置+++中国木偶艺术剧院-黑猫剧场
中国木偶剧院-大剧场	位置+++中国木偶剧院-大剧场
中国木偶剧院	位置+++中国木偶艺术剧院
中国木偶剧场花园剧场	位置+++中国木偶艺术剧院-花园剧场
中国名家书画展览交流交易中心	位置+++中国名家书画展览交流交易中心
中国民贸非遗中心	位置+++中国民贸非遗中心
中国民航干部管理学院篮球馆	位置+++中国民航干部管理学院篮球馆
中国蜜蜂博物馆	位置+++中国蜜蜂博物馆
中国梦谷园区足球场	位置+++中国梦谷园区足球场
中国美术家协会会员教学基地	位置+++中国美术家协会会员教学基地
中国美术家协会	位置+++中国美术家协会
中国美术馆西泠印社展厅	位置+++中国美术馆西泠印社展厅
中国美术馆	位置+++中国美术馆
中国煤地大厦	位置+++中国煤地大厦
中国毛泽东手书馆	位置+++中国毛泽东手书馆
中国盲文图书馆	位置+++中国盲文图书馆
中国留学人才创业园北京奥运园	位置+++中国留学人才创业园北京奥运园
中国李宁南宫羽毛球馆	位置+++中国李宁南宫羽毛球馆
中国礼品大全(亚运村店)	位置+++中国礼品大全(亚运村店)
中国老龄商城	位置+++中国老龄商城
中国劳动关系学院羽毛球馆	位置+++中国劳动关系学院羽毛球馆
中国劳动关系学院-图书馆	位置+++中国劳动关系学院-图书馆
中国矿业大学操场(暂停营业)	位置+++中国矿业大学操场(暂停营业)
中国矿业大学操场	位置+++中国矿业大学操场
中国矿业大学（学院路校区）图书馆	位置+++中国矿业大学（学院路校区）图书馆
中国矿业大学(北京)足球场	位置+++中国矿业大学(北京)足球场
中国矿业大学(北京)篮球场	位置+++中国矿业大学(北京)篮球场
中国矿大留学人员创业园	位置+++中国矿大留学人员创业园
中国科学院自然科学史研究所图书馆	位置+++中国科学院自然科学史研究所图书馆
中国科学院中科海外人才创业园	位置+++中国科学院中科海外人才创业园
中国科学院植物研究所北京植物园	位置+++北京植物园
中国科学院遗传发育所老干部活动中心	位置+++中国科学院遗传发育所老干部活动中心
中国科学院研究生院教学资料中心	位置+++中国科学院研究生院教学资料中心
中国科学院生物物理所图书馆	位置+++中国科学院生物物理所图书馆
中国科学院生态环境研究中心	位置+++中国科学院生态环境研究中心
中国科学院软件园区	位置+++中国科学院软件园区
中国科学院联动创新产业园	位置+++中国科学院联动创新产业园
中国科学院理化技术研究所图书馆	位置+++中国科学院理化技术研究所图书馆
中国科学院老干部活动中心	位置+++中国科学院老干部活动中心
中国科学院空间应用工程与技术中心	位置+++中国科学院空间应用工程与技术中心
中国科学院基础科学园区	位置+++中国科学院基础科学园区
中国科学院国家天文台离退休活动中心	位置+++中国科学院国家天文台离退休活动中心
中国科学院国家科学图书馆	位置+++中国科学院国家科学图书馆
中国科学院高能物理研究所网球场	位置+++中国科学院高能物理研究所网球场
中国科学院电镀中心	位置+++中国科学院电镀中心
中国科学院大学网球场	位置+++中国科学院大学网球场
中国科学院大学国际会议中心	位置+++中国科学院大学国际会议中心
中国科学院大学5人制足球场	位置+++中国科学院大学5人制足球场
中国科学院北京新技术基地	位置+++中国科学院北京新技术基地
中国科学院奥运村科技园1号楼	位置+++中国科学院奥运村科技园1号楼
中国科学院奥运村科技园	位置+++中国科学院奥运村科技园
中国科学院	位置+++中国科学院
中国科学技术馆-西门	位置+++中国科学技术馆
中国科学技术馆	位置+++中国科学技术馆
中国科技会堂-康体中心	位置+++中国科技会堂-康体中心
中国科技会堂-咖啡厅	位置+++中国科技会堂-咖啡厅
中国科技馆影城4D厅(北辰东路店)	位置+++中国科技馆影城4D厅(北辰东路店)
中国科技馆	位置+++中国科技馆
中国军事文化研究会影视艺术中心	位置+++中国军事文化研究会影视艺术中心
中国军事书店	位置+++中国军事书店
中国剧院	位置+++中国剧院
中国久远高新技术装备公司篮球场	位置+++中国久远高新技术装备公司篮球场
中国京西皮影创意产业基地	位置+++中国京西皮影创意产业基地
中国京剧院人民剧场	位置+++中国京剧院人民剧场
中国教育后勤管理协会节能产品展示中心	位置+++中国教育后勤管理协会节能产品展示中心
中国教育电视台	位置+++中国教育电视台
中国交响乐团	位置+++中国交响乐团
中国建筑装饰协会培训中心	位置+++中国建筑装饰协会培训中心
中国建筑业协会培训中心	位置+++中国建筑业协会培训中心
中国建筑设计集团人才培训中心	位置+++中国建筑设计集团人才培训中心
